5495049 | cookie cookie | New mark | 12.100
5762306 | waffle cake | New mark | 5.545
2085595 | pie  | Karmela | 0.617
6115776 | pie  | Nestle | 17
4410713 | bonbon bonbon | Nestle | 19.443
4626418 | bisquits  | Karmela | 4.719
8737510 | pie bisquits | Kinder | 8
6044589 | bisquits cookie | Nestle | 27
7769668 | cake  | Karmela | 21.191
3395760 | waffle cookie | New mark | 3
4959150 | pie donnat | Kinder | 26
9168414 | bonbon  | My firm | 2.605
322171 | waffle bisquits | Nestle | 19
5408433 | bisquits  | Nestle | 28
5341749 | waffle pie | Nestle | 5
1085438 | cookie cookie | Milka | 0.860
4945208 | chocolate  | Karmela | 2
3073589 | chocolate bonbon | Nestle | 13.955
5575730 | pie bonbon | Nestle | 6
7096558 | bonbon  | Ood | 12
5309880 | cookie  | Kinder | 10
8255495 | chocolate  | Ood | 22
9421741 | bonbon chocolate | Karmela | 28
5808811 | bonbon chocolate | Kinder | 3
8468708 | bisquits pie | Kinder | 23
895112 | pie chocolate | Milka | 1
2346932 | donnat  | Ood | 21.426
9768357 | bonbon cake | Kinder | 3
3432113 | cookie bonbon | Ood | 20
4823418 | bisquits donnat | Ood | 6
4504451 | pie waffle | Ood | 27
2447228 | cake  | Nestle | 24.870
1896342 | bonbon  | Ood | 19
7462998 | bonbon  | Ood | 7
860049 | pie pie | Ood | 22.574
5263905 | bisquits bonbon | Milka | 6
984885 | donnat  | New mark | 3
8874066 | bisquits  | Nestle | 27
3664900 | chocolate  | New mark | 1.526
8185156 | cookie pie | Milka | 19
6445336 | bisquits cookie | Ood | 21
3503627 | cake  | New mark | 4.891
1985982 | waffle cookie | Kinder | 11
4678494 | bisquits cookie | Kinder | 20
8920001 | cookie  | Kinder | 3
8325282 | cookie cookie | Nestle | 5
161273 | waffle  | Ood | 27.634
6199173 | bonbon  | Milka | 4.27
1766842 | chocolate donnat | Ood | 1.458
1467538 | chocolate chocolate | New mark | 1
637609 | chocolate  | Ood | 13
92978 | bonbon cake | Ood | 1
7578074 | waffle pie | New mark | 10
4651017 | donnat waffle | Milka | 28
3117977 | donnat  | Ood | 10
9650811 | chocolate  | Kinder | 8
3310249 | bonbon donnat | Nestle | 26
2125962 | cake bonbon | Ood | 5
4036180 | bonbon  | Nestle | 22
5167973 | bonbon bisquits | Nestle | 23
4856820 | pie waffle | Ood | 16.28
4884576 | cake  | Nestle | 16.723
8572095 | cake bonbon | Karmela | 29.775
9888361 | cookie  | My firm | 8.469
5471739 | cookie bisquits | My firm | 11.255
2297098 | waffle  | Nestle | 27
225294 | bonbon  | My firm | 23.71
4762736 | chocolate  | Karmela | 9.698
8227880 | cookie cake | New mark | 0.447
